"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 19:35:12 CDT 2022","Thu Jun 23 19:35:13 CDT 2022","1418","","eCommerce","","eCommerce","TC04_Editar_datos_usuario","TC04_Editar_datos_usuario()",""
"passed","Thu Jun 23 19:35:15 CDT 2022","Thu Jun 23 19:35:15 CDT 2022","341","","eCommerce","","eCommerce","TC07_CREAR_DIRECCION","TC07_CREAR_DIRECCION()",""
"passed","Thu Jun 23 19:35:19 CDT 2022","Thu Jun 23 19:35:20 CDT 2022","535","","eCommerce","","eCommerce","TC10_VER_ANUNCIONS_PENDIENTES","TC10_VER_ANUNCIONS_PENDIENTES()",""
"passed","Thu Jun 23 19:35:14 CDT 2022","Thu Jun 23 19:35:15 CDT 2022","594","","eCommerce","","eCommerce","TC06_UPDATE_TELEFONO","TC06_UPDATE_TELEFONO()",""
"passed","Thu Jun 23 19:35:15 CDT 2022","Thu Jun 23 19:35:15 CDT 2022","461","","eCommerce","","eCommerce","TC08_BORRAR_DIRECCION","TC08_BORRAR_DIRECCION()",""
"passed","Thu Jun 23 19:35:08 CDT 2022","Thu Jun 23 19:35:09 CDT 2022","1013","","eCommerce","","eCommerce","TC02_Obtener_Token_usando_header_authorization","TC02_Obtener_Token_usando_header_authorization()",""
"passed","Thu Jun 23 19:35:13 CDT 2022","Thu Jun 23 19:35:14 CDT 2022","911","","eCommerce","","eCommerce","T05_CREAR_USUARIOS","T05_CREAR_USUARIOS()",""
"passed","Thu Jun 23 19:35:09 CDT 2022","Thu Jun 23 19:35:12 CDT 2022","3004","","eCommerce","","eCommerce","TC03_Obtener_toke_usando_authorization_email_pass","TC03_Obtener_toke_usando_authorization_email_pass()",""
"passed","Thu Jun 23 19:35:16 CDT 2022","Thu Jun 23 19:35:19 CDT 2022","3911","","eCommerce","","eCommerce","TC09_CREAR_ANUNCION","TC09_CREAR_ANUNCION()",""
"passed","Thu Jun 23 19:35:02 CDT 2022","Thu Jun 23 19:35:07 CDT 2022","5198","","eCommerce","","eCommerce","TC01_Obtener_Categorias","Test Case: Validar que se muestren todas las categorias",""
